"","Line #","Name","Description","Designator","Revision ID","Revision State","Revision Status","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"","0.1uF, 10uF","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C1, C4, C8, C9, C10, C13, C14","CMP-2100-03643-1","Released","Up to date","7","KEMET","C0603X104K5RAC3316","Volume Production","Mouser","80-C0603X104K5R3316","0.078","0.78"
,"","Capacitor 1µF +/-20% 10V 0402","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm","C2, C3","CMP-001-00063-3","Draft","Up to date","2","KEMET","C0402C105K8PACTU","Volume Production","Newark","13M6336","0.037","0.074"
,"","Capacitor 4.7µF +/-20% 10V 0603","Chip Capacitor, 4.7µF +/-20%, 10V, 0603, Thickness 1 mm","C5, C6","CMP-001-00076-4","Draft","Up to date","2","KEMET","C0603C475K8PACTU","Volume Production","Newark","14N2177","0.051","0.102"
,"","5.6nF","CAP CER 5600PF 50V NP0 0603","C7","CMP-2006-03359-2","Unknown server","Up to date","1","KEMET","C0603C562J5GACTU","Volume Production","Arrow Electronics","C0603C562J5GACTU","0.2364","0.2364"
,"","Capacitor 12pF +/-10% 50V 0402","Chip Capacitor, 12pF +/-10%, 50V, 0402, Thickness 0.33 mm","C11, C12","CMP-001-00072-4","Draft","Up to date","2","KEMET","C0402C120J5GACTU","Volume Production","Newark","03C3041","0.003","0.006"
,"","ESP32-C3-MINI-1-H4","Integrated Circuit","IC1","","Not managed","","1","Espressif Systems","ESP32-C3-MINI-1-H4","Unknown","Digikey","1965-ESP32-C3-MINI-1-H4CT-ND","1.9","1.9"
,"","GSB1C41110SSHR","Connector","J1","","Not managed","","1","Amphenol","GSB1C41110SSHR","Unknown","Mouser","523-GSB1C41110SSHR","0.68","0.68"
,"","690-005-299-043","Connector","JP1","","Not managed","","1","EDAC","690-005-299-043","Volume Production","Digikey","151-1206-1-ND","0.65","0.65"
,"","QBLP595-Y","Chip LED 0402, Yellow, 0.02 A, 3.1 to 3.7 V, -40 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel","LED1, LED2","CMP-007-00043-3","Draft","Up to date","2","QT-Brightek","QBLP595-Y","Unknown","Digikey","1516-1219-1-ND","0.34","0.68"
,"","CSL1001BT1C","LED","LED3","","Not managed","","1","Rohm","CSL1001BT1C","Unknown","Mouser","755-CSL1001BT1C","0.55","0.55"
,"","4D7KR2F","4K7 0.063W 1% 0402 (1005 Metric)  SMD","R1, R2, R3, R4, R5","CMP-009-00105-2","Draft","Up to date","5","TE Connectivity / AMP","6-1879061-6","Unknown","Digikey","A119945CT-ND","0.33","1.65"
,"","Resistor 5K6  +/-5 % 0402 63 mW","Chip Resistor, 5,6 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R6, R7, R8","CMP-009-00136-3","Draft","Up to date","3","Panasonic","ERJ-2GEJ562X","Volume Production","Avnet","53W4172","0.003","0.009"
,"","Resistor 2K2  +/-5 % 0402 63 mW","Chip Resistor, 2,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R9","CMP-009-00166-3","Draft","Up to date","1","Vishay Dale","CRCW04022K20JNED","Volume Production","Newark","59M6710","0.004","0.004"
,"","2KR2J","2K 0.063W 5% 0402 (1005 Metric)  SMD","R10","CMP-009-00091-2","Draft","Up to date","1","TE Connectivity","CRG0402F2K0","Volume Production","Mouser","279-CRG0402F2K0","0.1","0.1"
,"","Resistor 4K7  +/-1 % 0402 63 mW","Chip Resistor, 4,7 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R11, R13","CMP-009-00158-3","Draft","Up to date","2","Panasonic","ERJ-2RKF4701X","Volume Production","Newark","64R5288","0.004","0.008"
,"","1KR2J","1K 0.063W 5% 0402 (1005 Metric)  SMD","R12","CMP-009-00075-2","Draft","Up to date","1","TE Connectivity","RP73PF1E1K0BTDF","Volume Production","Newark","73AC0267","0.036","0.036"
,"","B3F-1000","Tactile Switch, SPST-NO, 0.05 A, 5 to 24 V, -25 to 70 degC, 4-Pin THD, RoHS, Bulk","SW1","CMP-1677-00002-1","Released","Up to date","1","Omron","B3F-1000","Volume Production","Avnet","B3F1000","0.15929","0.15929"
,"","MAX30102EFD+","Integrated Circuit","U1","","Not managed","","1","Maxim","MAX30102EFD+T","Unknown","Newark","54AK7470","8.37","8.37"
,"","MAX14595ETA+","Integrated Circuit","U2","","Not managed","","1","Maxim","MAX14595ETA+T","Volume Production","Newark","01AC4899","3.03","3.03"
,"","MAX1921EUT18+","Integrated Circuit","U3","","Not managed","","1","Maxim","MAX1921EUT18+T","Volume Production","Newark","38AC1522","3.47","3.47"
,"","TMP119AIYBGR","Integrated Circuit","U4","","Not managed","","1","Texas Instruments","TMP119AIYBGR","Unknown","Digikey","296-TMP119AIYBGRCT-ND","6.31","6.31"
,"","ABM8-27.120MHZ-B4-T","Crystal 27.12MHz ±30ppm 18pF SMD-4 3.2mm x 2.5mm","U5","CMP-27762-000994-1","New From Design","Up to date","1","Abracon","ABM8-27.120MHZ-B4-T","Volume Production","Mouser","815-ABM8-27.12-B4-T","0.37","0.37"
,"","MCP73831-2DCI_MC","Integrated Circuit","U6","","Not managed","","1","Microchip","MCP73831-2DCI/MC","Volume Production","Heisener","MCP73831-2DCI/MC","0.7919","0.7919"
